South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,1530
Sub-Saharan Africa,SSF,CO2 emissions (kt),EN.ATM.CO2E.KT,798787.277
Small states,SST,CO2 emissions (kt),EN.ATM.CO2E.KT,230018.0582
Sao Tome and Principe,STP,CO2 emissions (kt),EN.ATM.CO2E.KT,120
Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,2640
Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,30450
Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,13170
Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,39100
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,960
Sint Maarten (Dutch part),SXM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,460
Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,27070
Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,940
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (kt),EN.ATM.CO2E.KT,11203670
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (kt),EN.ATM.CO2E.KT,3187913.964
Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,1590
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,258660
Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,4470
Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,69490
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,1730430
Timor-Leste,TLS,CO2 emissions (kt),EN.ATM.CO2E.KT,530
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (kt),EN.ATM.CO2E.KT,1389430
Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,110
South Asia (IDA & IBRD),TSA,CO2 emissions (kt),EN.ATM.CO2E.KT,2389180
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (kt),EN.ATM.CO2E.KT,798787.277
Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,21920
Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,28830
Turkey,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,340640
Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,10
Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,10720
Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,4740
Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,237610
Upper middle income,UMC,CO2 emissions (kt),EN.ATM.CO2E.KT,15092758.64
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,6500
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5102580
Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,105410
St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,290
